,StartDate_t2,EndDate_t2,Status_t2,IPAddress_t2,Progress_t2,Duration_t2,Finished_t2,RecordedDate_t2,ResponseId_t2,LocationLatitude_t2,LocationLongitude_t2,UserLanguage_t2,participantID,morra1_t2,morra1_First_Click_t2,morra2_t2,morra2_First_Click_t2,morra3_t2,morra3_First_Click_t2,morra4_t2,morra4_First_Click_t2,morra5_t2,morra5_First_Click_t2,morra6_t2,morra6_First_Click_t2,morra7_t2,morra7_First_Click_t2,morra8_t2,morra8_First_Click_t2,morra9_t2,morra9_First_Click_t2,morra10_t2,morra10_First_Click_t2,morraRandom_t2,morraModificato_t2,moneta1_t2,moneta2_t2,moneta3_t2,moneta4_t2,moneta5_t2,monetaRandom_t2,quadroBello1_t2,quadroFamiliare1_t2,quadroCasuale1_t2,quadroPattern1_t2,quadroBello2_t2,quadroFamiliare2_t2,quadroCasuale2_t2,quadroPattern2_t2,quadroBello3_t2,quadroFamiliare3_t2,quadroCasuale3_t2,quadroPattern3_t2,paranoia1_t2,paranoia2_t2,paranoia3_t2,paranoia4_t2,paranoia5_t2,conspiracy1_t2,conspiracy2_t2,conspiracy3_t2,conspiracy4_t2,conspiracy5_t2,conspiracy6_t2,conspiracy7_t2,conspiracy8_t2,conspiracy9_t2,conspiracy10_t2,conspiracy11_t2,conspiracy12_t2,conspiracy13_t2,conspiracy14_t2,conspiracy15_t2,genere_t2,eta_t2,orientamento_t2,morraRisp1_t2,morraRisp2_t2,morraRisp3_t2,morraRisp4_t2,morraRisp5_t2,morraRisp6_t2,morraRisp7_t2,morraRisp8_t2,morraRisp9_t2,morraRisp10_t2,StartDate_t1,EndDate_t1,Status_t1,IPAddress_t1,Progress_t1,Duration_t1,Finished_t1,RecordedDate_t1,ResponseId_t1,LocationLatitude_t1,LocationLongitude_t1,UserLanguage_t1,consens_t1,morra1_t1,morra1_First_Click_t1,morra2_t1,morra2_First_Click_t1,morra3_t1,morra3_First_Click_t1,morra4_t1,morra4_First_Click_t1,morra5_t1,morra5_First_Click_t1,morra6_t1,morra6_First_Click_t1,morra7_t1,morra7_First_Click_t1,morra8_t1,morra8_First_Click_t1,morra9_t1,morra9_First_Click_t1,morra10_t1,morra10_First_Click_t1,morraRandom_t1,moneta1_t1,moneta2_t1,moneta3_t1,moneta4_t1,moneta5_t1,monetaRandom_t1,morraRisp1_t1,morraRisp2_t1,morraRisp3_t1,morraRisp4_t1,morraRisp5_t1,morraRisp6_t1,morraRisp7_t1,morraRisp8_t1,morraRisp9_t1,morraRisp10_t1,morraScore1_t1,morraScore2_t1,morraScore3_t1,morraScore4_t1,morraScore5_t1,morraScore6_t1,morraScore7_t1,morraScore8_t1,morraScore9_t1,morraScore10_t1,morraScore1_t2,morraScore2_t2,morraScore3_t2,morraScore4_t2,morraScore5_t2,morraScore6_t2,morraScore7_t2,morraScore8_t2,morraScore9_t2,morraScore10_t2,morraScoreTot_t1,morraScoreTot_t2,course
1,2021-04-12 12:02:43,2021-04-12 12:07:17,IP Address,87.5.40.248,100,274,True,2021-04-12 12:07:17,R_1GK2gxyG8L77ojY,46.5018005371094,11.3471069335938,EN,ieov0612,Forbice,2.469,Forbice,1.814,Carta,0.567,Forbice,1.171,Sasso,0.701,Carta,0.373,Sasso,0.354,Forbice,0.497,Sasso,0.155,Sasso,0.231,100,62,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Brutto,Pochissimo,Abbastanza,Per niente,Brutto,Pochissimo,Abbastanza,Per niente,Brutto,Pochissimo,Abbastanza,Per niente,Per nulla,Per nulla,Per nulla,Per nulla,Per nulla,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,M,23,13,carta,forbice,carta,forbice,forbice,carta,sasso,sasso,forbice,carta,2021-04-12 10:36:13,2021-04-12 10:39:03,IP Address,87.5.40.248,100,169,True,2021-04-12 10:39:03,R_1DS7Ck8cmDnJQFv,46.5018005371094,11.3471069335938,EN,Acconsento,Sasso,3.301,Sasso,2.401,Sasso,1.402,Carta,8.003,Forbice,5.162,Forbice,2.542,Forbice,3.404,Carta,1.094,Forbice,6.904,Carta,2.104,100,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,sasso,carta,forbice,sasso,sasso,sasso,sasso,sasso,sasso,carta,0.1,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.1,1.0,0.1,0.1,0.1,1.0,0.1,0.1,0.0,1.0,0.0,3.2,3.5000000000000004,psycho
2,2021-04-12 12:03:03,2021-04-12 12:07:42,IP Address,151.42.175.79,100,279,True,2021-04-12 12:07:42,R_1DG8lnxfPkq9H7o,44.0574951171875,12.5653076171875,EN,usim2209,Forbice,6.576,Carta,3.971,Carta,1.24,Sasso,0.662,Forbice,0.544,Carta,0.454,Sasso,0.484,Sasso,0.51,Forbice,0.55,Carta,0.468,97,1,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Bello,Molto,Abbastanza,Pochissimo,Nè bello nè brutto,Poco,Abbastanza,Pochissimo,Nè bello nè brutto,Molto,Abbastanza,Pochissimo,Poco,Per nulla,Per nulla,Per nulla,Poco,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,F,32,27,sasso,sasso,forbice,forbice,carta,sasso,carta,forbice,forbice,sasso,2021-04-12 10:32:45,2021-04-12 10:37:28,IP Address,151.42.175.79,100,282,True,2021-04-12 10:37:28,R_C2BC910dAtmkdeV,44.0574951171875,12.5653076171875,EN,Acconsento,Forbice,6.386,Sasso,2.786,Carta,1.37,Sasso,1.404,Forbice,1.316,Forbice,1.301,Carta,1.249,Carta,1.33,Sasso,1.564,Forbice,1.293,91,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,sasso,sasso,sasso,carta,sasso,carta,sasso,sasso,sasso,forbice,0.0,0.1,1.0,0.0,0.0,1.0,1.0,1.0,0.1,0.1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,1.0,4.299999999999999,6.1,psycho
3,2021-04-12 12:03:13,2021-04-12 12:08:01,IP Address,62.18.136.92,100,287,True,2021-04-12 12:08:01,R_s7Dq6hzpXG5Nh5L,45.5500030517578,10.25,EN,omal1204,Sasso,1.135,Sasso,0.517,Sasso,0.467,Sasso,0.377,Sasso,0.403,Sasso,0.265,Sasso,0.365,Sasso,0.317,Sasso,0.335,Sasso,0.332,100,88,Molto casuali,Molto casuali,Molto casuali,Molto casuali,Molto casuali,Molto casuali,Nè bello nè brutto,Poco,Abbastanza,Per niente,Brutto,Per niente,Molto,Poco,Nè bello nè brutto,Abbastanza,Poco,Poco,Poco,Per nulla,Per nulla,Poco,Per nulla,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,M,25,35,forbice,carta,forbice,forbice,carta,forbice,forbice,forbice,sasso,sasso,2021-04-12 10:33:57,2021-04-12 10:36:52,IP Address,62.18.136.92,100,175,True,2021-04-12 10:36:53,R_33dPoT5yMQkkFTS,45.5500030517578,10.25,EN,Acconsento,Sasso,1.85,Forbice,0.777,Forbice,0.686,Sasso,1.206,Sasso,0.813,Carta,1.319,Forbice,0.351,Sasso,0.471,Forbice,16.595,Carta,2.351,100,Molto casuali,Molto casuali,Molto casuali,Molto casuali,Molto casuali,Molto casuali,forbice,forbice,carta,carta,carta,forbice,carta,forbice,forbice,forbice,1.0,0.1,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.1,0.1,4.199999999999999,6.199999999999999,psycho
4,2021-04-12 12:03:21,2021-04-12 12:08:30,IP Address,37.117.74.124,100,308,True,2021-04-12 12:08:30,R_sNVX8oniN4WU57b,45.4096069335938,11.8946990966797,EN,LARE0602,Carta,6.427,Carta,3.066,Forbice,1.063,Forbice,1.531,Sasso,0.97,Sasso,2.136,Carta,0.661,Forbice,1.776,Sasso,1.384,Sasso,0.626,100,9,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Bello,Pochissimo,Per niente,Abbastanza,Molto brutto,Per niente,Pochissimo,Molto,Molto bello,Pochissimo,Molto,Pochissimo,Molto,Per nulla,Poco,Per nulla,Per nulla,2,,,2,3,10,1,,,1,10,1,,6,9,F,24,21,forbice,forbice,forbice,carta,carta,carta,sasso,carta,sasso,carta,2021-04-12 10:32:44,2021-04-12 10:36:43,IP Address,37.117.74.124,100,238,True,2021-04-12 10:36:43,R_28Onee0deV88ob1,45.4096069335938,11.8946990966797,EN,Acconsento,Sasso,9.2,Sasso,6.613,Sasso,2.237,Forbice,3.009,Carta,3.153,Forbice,11.67,Forbice,2.432,Forbice,1.763,Carta,4.3,Carta,1.647,50,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,carta,sasso,forbice,carta,sasso,sasso,forbice,forbice,carta,forbice,0.0,0.1,1.0,1.0,1.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,1.0,0.0,0.0,1.0,1.0,0.1,0.0,3.4000000000000004,3.2,psycho
5,2021-04-12 12:03:24,2021-04-12 12:08:41,IP Address,147.162.110.41,100,317,True,2021-04-12 12:08:42,R_1gjNM1OixjAeWut,45.4096069335938,11.8946990966797,EN,leas0810,Carta,1.783,Carta,1.101,Carta,1.014,Carta,1.008,Carta,1.086,Carta,1.478,Carta,0.911,Carta,1.19,Carta,0.941,Carta,0.957,100,,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Abbastanza bello,Moltissimo,Poco,Per niente,Abbastanza bello,,Abbastanza,Pochissimo,Bello,Abbastanza,Molto,Pochissimo,Poco,Poco,Abbastanza,Poco,Per nulla,,,,,,,,,,,,,,,,M,25,27,sasso,forbice,carta,forbice,sasso,carta,carta,sasso,carta,forbice,2021-04-12 10:33:41,2021-04-12 10:38:23,IP Address,147.162.110.41,100,282,True,2021-04-12 10:38:24,R_2e5s0yH70UlSBA9,45.4096069335938,11.8946990966797,EN,Acconsento,Sasso,2.663,Carta,2.777,Carta,0.947,Forbice,4.952,Forbice,1.442,Forbice,1.319,Forbice,1.372,Forbice,1.017,Forbice,1.011,Forbice,1.191,100,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,carta,forbice,sasso,forbice,carta,carta,sasso,sasso,carta,forbice,0.0,0.0,1.0,0.1,1.0,1.0,0.0,0.0,1.0,0.1,1.0,0.0,0.1,0.0,1.0,0.1,0.1,1.0,0.1,0.0,4.199999999999999,3.4000000000000004,psycho
6,2021-04-12 12:03:19,2021-04-12 12:08:49,IP Address,93.37.210.98,100,330,True,2021-04-12 12:08:50,R_eaFMGwJeVM1UqTD,45.4936981201172,12.2449951171875,EN,LBAS0309,Carta,2.105,Sasso,0.66,Forbice,0.572,Forbice,1.944,Carta,0.649,Sasso,0.539,Sasso,0.603,Carta,1.622,Forbice,1.472,Sasso,0.987,50,69,Abbastanza casuali,Abbastanza casuali,Molto casuali,Molto casuali,Molto casuali,Abbastanza casuali,Molto bello,Abbastanza,Poco,Poco,Bello,Abbastanza,Poco,Abbastanza,Bello,Abbastanza,Abbastanza,Abbastanza,Abbastanza,Poco,Abbastanza,Poco,Abbastanza,7,2,3,1,1,2,1,2,1,2,1,1,1,3,4,M,23,32,carta,sasso,sasso,sasso,sasso,forbice,sasso,carta,forbice,carta,2021-04-12 10:35:45,2021-04-12 10:39:07,IP Address,93.37.210.98,100,202,True,2021-04-12 10:39:08,R_2zGzLocPj866MG0,45.4936981201172,12.2449951171875,EN,Acconsento,Carta,9.756,Sasso,5.389,Carta,5.171,Sasso,5.209,Sasso,3.362,Carta,1.565,Forbice,0.622,Forbice,0.514,Forbice,1.39,Sasso,1.177,32,Nè casuali nè predeterminati,Nè casuali nè predeterminati,Nè casuali nè predeterminati,Nè casuali nè predeterminati,Nè casuali nè predeterminati,Nè casuali nè predeterminati,carta,sasso,carta,sasso,carta,forbice,forbice,carta,sasso,forbice,0.1,0.1,0.1,0.1,0.0,0.0,0.1,1.0,0.0,1.0,0.1,0.1,0.0,0.0,1.0,1.0,0.1,0.1,0.1,0.0,2.5,2.5000000000000004,psycho
7,2021-04-12 12:02:51,2021-04-12 12:08:50,IP Address,37.160.42.213,100,358,True,2021-04-12 12:08:50,R_1U4UCQptpukZTdn,43.1479034423828,12.1096954345703,EN,ERRE1204,Carta,1.077,Sasso,1.002,Forbice,2.2,Sasso,0.802,Carta,0.502,Forbice,0.899,Sasso,0.402,Forbice,0.802,Carta,0.501,Carta,0.503,74,0,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Bello,Del tutto,Moltissimo,Per niente,Brutto,Per niente,Abbastanza,Poco,Bello,Moltissimo,Del tutto,Per niente,Molto,Per nulla,Per nulla,Per nulla,Molto,,,,,,,,,,,0,0,,,,F,23,47,carta,carta,forbice,forbice,sasso,forbice,sasso,carta,carta,carta,2021-04-12 10:33:34,2021-04-12 10:37:54,IP Address,37.160.42.213,100,259,True,2021-04-12 10:37:55,R_3n0YPD2rqtkd4Qh,43.1479034423828,12.1096954345703,EN,Acconsento,Carta,1.601,Forbice,1.097,Sasso,0.483,Forbice,1.002,Carta,0.401,Forbice,0.601,Forbice,1.296,Sasso,0.302,Sasso,0.901,Carta,0.302,60,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,forbice,forbice,forbice,sasso,sasso,carta,forbice,sasso,carta,carta,0.0,0.1,1.0,0.0,1.0,1.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,1.0,1.0,0.1,0.1,1.0,0.1,0.1,3.4000000000000004,3.6000000000000005,psycho
8,2021-04-12 12:02:55,2021-04-12 12:09:15,IP Address,147.162.110.41,100,379,True,2021-04-12 12:09:15,R_1hMdQdXADpor1Ku,45.4096069335938,11.8946990966797,EN,auad1307,Carta,2.101,Forbice,1.081,Sasso,0.574,Forbice,0.676,Carta,0.301,Sasso,0.676,Forbice,0.402,Carta,0.302,Sasso,0.482,Forbice,0.301,30,29,Abbastanza casuali,Nè casuali nè predeterminati,Abbastanza predeterminati,Nè casuali nè predeterminati,Abbastanza predeterminati,Abbastanza predeterminati,Nè bello nè brutto,Abbastanza,Pochissimo,Pochissimo,Abbastanza brutto,Poco,Pochissimo,Poco,Nè bello nè brutto,Molto,Poco,Poco,Abbastanza,Per nulla,Per nulla,Poco,Per nulla,1,0,1,0,0,0,0,5,0,0,0,0,5,0,5,F,22,31,carta,carta,carta,forbice,sasso,forbice,forbice,forbice,carta,carta,2021-04-12 10:34:01,2021-04-12 10:37:52,IP Address,147.162.110.41,100,230,True,2021-04-12 10:37:52,R_2cnrr4xFtgq2Vt9,45.4096069335938,11.8946990966797,EN,Acconsento,Sasso,8.247,Carta,4.081,Forbice,2.236,Carta,1.184,Sasso,0.911,Carta,2.769,Forbice,1.618,Carta,1.237,Sasso,2.172,Sasso,0.957,30,Molto casuali,Abbastanza casuali,Abbastanza casuali,Abbastanza casuali,Abbastanza casuali,Abbastanza casuali,sasso,carta,forbice,sasso,carta,sasso,forbice,sasso,carta,forbice,0.1,0.1,0.1,1.0,0.0,1.0,0.1,1.0,0.0,1.0,0.1,1.0,0.0,0.1,1.0,1.0,0.1,0.0,0.0,1.0,4.4,4.300000000000001,psycho
9,2021-04-12 12:02:54,2021-04-12 12:09:41,IP Address,2.36.159.98,100,407,True,2021-04-12 12:09:41,R_29mDHJE9meV7LRW,45.6880950927734,9.72479248046875,EN,aran0601,Carta,3.767,Sasso,1.242,Forbice,1.211,Forbice,1.256,Forbice,1.089,Sasso,1.253,Carta,1.147,Sasso,1.164,Forbice,0.857,Carta,1.338,80,90,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Molto casuali,Nè bello nè brutto,Pochissimo,Abbastanza,Pochissimo,Brutto,Per niente,Pochissimo,Pochissimo,Nè bello nè brutto,Poco,Abbastanza,Pochissimo,Abbastanza,Poco,Abbastanza,Abbastanza,Poco,4,0,0,2,6,4,,,4,1,1,,,,5,F,25,76,forbice,carta,carta,carta,sasso,sasso,forbice,carta,sasso,sasso,2021-04-12 10:32:38,2021-04-12 10:38:30,IP Address,2.36.159.98,100,352,True,2021-04-12 10:38:30,R_2Yb1qbNsDaSRxqX,45.6880950927734,9.72479248046875,EN,Acconsento,Sasso,57.076,Sasso,2.507,Forbice,1.725,Sasso,1.369,Forbice,2.69,Forbice,1.71,Sasso,1.341,Forbice,1.226,Sasso,0.791,Sasso,7.066,78,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Completamente casuali,Molto casuali,forbice,sasso,carta,sasso,carta,forbice,forbice,forbice,sasso,sasso,1.0,0.1,1.0,0.1,1.0,0.1,1.0,0.1,0.1,0.1,0.0,0.0,1.0,1.0,0.0,0.1,0.0,0.0,0.0,1.0,4.6,3.1,psycho
10,2021-04-12 12:02:52,2021-04-12 12:10:06,IP Address,151.36.37.1,100,433,True,2021-04-12 12:10:06,R_tFJZd1lQDrfbtgB,45.5050048828125,9.21989440917969,EN,lbor0902,Forbice,4.757,Sasso,2.966,Sasso,1.068,Sasso,2.271,Forbice,2.319,Forbice,2.021,Forbice,1.658,Sasso,2.435,Forbice,1.131,Carta,0.309,100,50,Molto casuali,Completamente casuali,Molto predeterminati,Completamente casuali,Completamente casuali,Completamente casuali,Brutto,Abbastanza,Molto,Per niente,Brutto,Poco,Pochissimo,Abbastanza,Abbastanza brutto,Abbastanza,Molto,Pochissimo,Poco,Per nulla,Poco,Poco,Per nulla,3,0,1,0,1,1,0,1,0,0,2,0,0,0,1,M,25,17,carta,carta,sasso,forbice,forbice,forbice,carta,sasso,carta,carta,2021-04-12 10:32:43,2021-04-12 10:39:04,IP Address,151.36.37.1,100,381,True,2021-04-12 10:39:05,R_1nZLhzCO07HX49u,45.5050048828125,9.21989440917969,EN,Acconsento,Sasso,10.663,Carta,4.733,Carta,2.873,Sasso,10.719,Sasso,3.488,Sasso,10.426,Carta,7.575,Sasso,32.173,Carta,6.36,Forbice,8.835,80,Molto casuali,Completamente casuali,Abbastanza casuali,Completamente casuali,Completamente casuali,Completamente casuali,forbice,sasso,sasso,sasso,forbice,forbice,forbice,forbice,carta,sasso,1.0,1.0,1.0,0.1,1.0,1.0,0.0,1.0,0.1,0.0,1.0,0.0,0.1,1.0,0.1,0.1,1.0,0.1,1.0,0.1,6.199999999999999,4.5,psycho
