StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q109,Q1,Q125,Q126_First Click,Q126_Last Click,Q126_Page Submit,Q126_Click Count,Q4,Q61_First Click,Q61_Last Click,Q61_Page Submit,Q61_Click Count,Q145,Q146_First Click,Q146_Last Click,Q146_Page Submit,Q146_Click Count,Q156,Q157_First Click,Q157_Last Click,Q157_Page Submit,Q157_Click Count,Q167,Q168_First Click,Q168_Last Click,Q168_Page Submit,Q168_Click Count,Q178,Q179_First Click,Q179_Last Click,Q179_Page Submit,Q179_Click Count,Q225,Q226_First Click,Q226_Last Click,Q226_Page Submit,Q226_Click Count,Q227,Q228_First Click,Q228_Last Click,Q228_Page Submit,Q228_Click Count,Q229,Q230_First Click,Q230_Last Click,Q230_Page Submit,Q230_Click Count,Q231,Q232_First Click,Q232_Last Click,Q232_Page Submit,Q232_Click Count,Q5_1,Q225,Q228,Q229,Q230,Q227,Q226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Gentile partecipante,

con questo documento ti chiediamo di fornire il tuo consenso informato alla partecipazione ad una ricerca intitolata ""Game Theory"" coordinata dalla Professoressa Caterina Suitner, Dipartimento di Psicologia dello Sviluppo e della Socializzazione di Padova. Lo scopo di questa ricerca è di indagare il gioco della Morra Cinese.




METODOLOGIA DELLA RICERCA

In questa ricerca le sarà chiesto di:

1. Giocare a Morra Cinese

2. Rispondere ad una serie di domande sulla tua personalità.

3. Rispondere a delle scale che rilevano le sue opinioni rispetto a una serie di quadri.
4. Rispondere a una breve serie di domande riguardanti i suoi dati socio-demografici.

 

LUOGO E DURATA DELLA RICERCA

La ricerca è condotta sulla piattaforma online Qualtrics, sarà suddivisa in due questionari e avrà la durata totale di circa 15 minuti.




CONTATTI

Responsabile della ricerca e data manager: Caterina Suitner, telefono: +390498276362; e-mail: caterina.suitner@unipd.it; Dipartimento di Psicologia Dello Sviluppo e Della Socializzazione (DPSS) dell’Università di Padova, via Venezia 8, Padova, Italia.




CONSENSO ALLA PARTECIPAZIONE E UTILIZZO DEI DATI 

Con la presente dichiaro di aver volontariamente acconsentito alla partecipazione allo studio. 

Dichiaro:

1. Di essere consapevole che lo studio è in linea con le leggi vigenti in Italia D. Lgs 196/2003 e in Europa EU GDPR 679/2016 sulla protezione dei dati e per consentire il trattamento e la comunicazione di dati personali, nei limiti, per le finalità e per la durata specificate dalla normativa vigente (D.Lgs. 196/2003 e EU GDPR 679/2016). Il responsabile della ricerca si impegna a soddisfare gli obblighi stabiliti dalla legislazione vigente in termini di raccolta, elaborazione e archiviazione dei dati sensibili.

2. Di essere a conoscenza del mio diritto di interrompere la mia partecipazione allo studio in qualsiasi momento, senza fornire spiegazioni, senza alcuna penalità e ottenendo il mancato uso dei dati.

3. Di essere consapevole del fatto che i dati sono stati raccolti in modo anonimo e associati a un codice che consente solo ai partecipanti alla ricerca di accedere ai miei dati. 

4. Di essere a conoscenza del fatto che i dati saranno utilizzati esclusivamente a fini scientifici e statistici e protetti secondo il Codice italiano in materia di protezione dei dati personali

5. Di essere consapevole che, se lo si desidera, è possibile ottenere il ritorno dei dati grezzi fornendo ai ricercatori via email un codice da lei generato.

6. Di essere consapevole di poter conservare una copia di questo modulo.

La protezione dei Suoi dati personali è designata con Decreto del Direttore Generale 4451 del 19 dicembre 2017, in cui è stato nominato il Responsabile della Protezione dati (privacy@unipd.it).

 

Dichiaro di avere almeno 18 anni e acconsento alla partecipazione allo studio e al trattamento dei miei dati personali","Benvenuto/a, ti chiediamo di inserire un codice che ci permetterà di collegare le risposte che darai a questo questionario con quelle che darai al successivo questionario.Crea un codice composto dalla 1° e 2° lettera del tuo nome, dalla 1° e 2° lettera della tua città di nascita e i quattro numeri che compongono il tuo giorno e mese di nascita. Esempio: Marco da Vicenza 01/03/1990  = mavi0103",1. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,2. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,3. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,4. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,5. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,6. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,7. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,8. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,9. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,10. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Secondo te il Computer forniva risposte a caso o in modo strategico? - Casualità delle risposte:,1. 10 lanci della moneta hanno prodotto il seguente risultato: TCTCCCCTTC,"2. 10 lanci della moneta hanno prodotto il seguente risultato: TTCTTCTCCC

Quanto ti sermbra casuale o predeterminato questo risultato?","3. 10 lanci della moneta hanno prodotto il seguente risultato: CCTCTCTCCT


Quanto ti sermbra casuale o predeterminato questo risultato?","4. 10 lanci della moneta hanno prodotto il seguente risultato: TTTCTCCTCC



Quanto ti sermbra casuale o predeterminato questo risultato?","5. 10 lanci della moneta hanno prodotto il seguente risultato: TCCCTTTCTT


Quanto ti sermbra casuale o predeterminato questo risultato?","Ora immagina che le sequenze che ti abbiamo presentato in precedenza siano 50 lanci consecutivi della stessa moneta, valuta nel complesso quanto casuali o predeterminati siano stati i risultati.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q125,Q126_First Click,Q126_Last Click,Q126_Page Submit,Q126_Click Count,Q4,Q61_First Click,Q61_Last Click,Q61_Page Submit,Q61_Click Count,Q145,Q146_First Click,Q146_Last Click,Q146_Page Submit,Q146_Click Count,Q156,Q157_First Click,Q157_Last Click,Q157_Page Submit,Q157_Click Count,Q167,Q168_First Click,Q168_Last Click,Q168_Page Submit,Q168_Click Count,Q178,Q179_First Click,Q179_Last Click,Q179_Page Submit,Q179_Click Count,Q225,Q226_First Click,Q226_Last Click,Q226_Page Submit,Q226_Click Count,Q227,Q228_First Click,Q228_Last Click,Q228_Page Submit,Q228_Click Count,Q229,Q230_First Click,Q230_Last Click,Q230_Page Submit,Q230_Click Count,Q231,Q232_First Click,Q232_Last Click,Q232_Page Submit,Q232_Click Count,Q5_1,Q6_1,Q227,Q229,Q231,Q233,Q235,Q237,Q104,Q47,Q48,Q132,Q105,Q127,Q128,Q133,Q52,Q129,Q130,Q134,Q92,Q97,Q98,Q99,Q100,Q8_1,Q62_1,Q63_1,Q64_1,Q83_1,Q66_1,Q67_1,Q68_1,Q69_1,Q74_1,Q75_1,Q76_1,Q77_1,Q80_1,Q81_1,Q91,Q38,Q40_1,Carta1_DO_sasso
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Bentornat*, ti chiediamo di inserire un codice che ci permetterà di collegare le risposte che hai dato al precedente questionario con quelle che darai adesso.RIusa lo stesso codice composto dalla 1° e 2° lettera del tuo nome, dalla 1° e 2° lettera della tua città di nascita e i quattro numeri che compongono il tuo giorno e mese di nascita. Esempio: Marco da Vicenza 01/03/1990  = mavi0103",1. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,2. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,3. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,4. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,5. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,6. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,7. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,8. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,9. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,10. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Secondo te il Computer forniva risposte a caso o in modo strategico? - .,Quanto hai modificato la tua strategia di gioco tra il primo e il secondo questionario? - Ho cambiato la mia strategia:,1. 10 lanci della moneta hanno prodotto il seguente risultato: CTTTCTTTCT,2. 10 lanci della moneta hanno prodotto il seguente risultato: TCCCCTTTCT,3. 10 lanci della moneta hanno prodotto il seguente risultato: CTCTCCCCCC,4. 10 lanci della moneta hanno prodotto il seguente risultato: TCTTCTTCCT,5. 10 lanci della moneta hanno prodotto il seguente risultato: CTTCCTTCTC,"Ora immagina che le sequenze che ti abbiamo presentato in precedenza siano 50 lanci consecutivi della stessa moneta, valuta nel complesso quanto casuali o predeterminati siano stati i risultati.",Quanto brutto o bello ritieni questo quadro?,Quanto familiare ti sembra questo quadro?,Pensi che l'opera sia stata generata in modo casuale?,Ti sembra che nel dipinto siano presenti dei pattern visivi o delle figure particolari?,Quanto brutto o bello ritieni questo quadro?,Quanto familiare ti sembra questo quadro?,Pensi che l'opera sia stata generata in modo casuale?,Ti sembra che nel dipinto siano presenti dei pattern visivi o delle figure particolari?,Quanto brutto o bello ritieni questo quadro?,Quanto familiare ti sembra questo quadro?,Pensi che l'opera sia stata generata in modo casuale?,Ti sembra che nel dipinto siano presenti dei pattern visivi o delle figure particolari?,Ho bisogno di stare sulla difensiva con gli/ altr*,Le persone cercano di farmi arrabbiare,Gli estranei/amici mi guardano in modo critico,Le persone ridono di me,I miei pensieri/azioni potrebbero essere controllati da altr*,"1. Il governo è coinvolto nell’assassinio di
cittadini innocenti e/o di famose figure pubbliche, e lo mantiene segreto - è probabile che questa affermazione sia vera","2.     Il potere detenuto dai capi di stato è
subordinato a quello di un gruppo sconosciuto che controlla realmente le
politiche mondiali - è probabile che questa affermazione sia vera","3.     Ci sono organizzazioni segrete che comunicano
con gli extraterrestri, ma tengono nascosto questo fatto alla popolazione - è probabile che questa affermazione sia vera","4.     La diffusione di alcuni virus e/o malattie è
il risultato di sforzi deliberati e nascosti di alcune organizzazioni. - è probabile che questa affermazione sia vera","5.     Gruppi di scienziati manipolano, fabbricano o
censurano evidenze allo scopo di ingannare la popolazione. - è probabile che questa affermazione sia vera","6.     Il governo permette o perpetra atti di
terrorismo sul proprio territorio, mascherando il suo coinvolgimento. - è probabile che questa affermazione sia vera","7.     Un piccolo gruppo segreto di persone è il
responsabile di tutte le maggiori decisioni mondiali, come il far scoppiare le
guerre - è probabile che questa affermazione sia vera","8.     La prova del contatto alieno è stata nascosta
alla popolazione - è probabile che questa affermazione sia vera","9.     Tecnologie con capacità di controllo mentale
sono usate sulle persone senza che lo sappiano - è probabile che questa affermazione sia vera","10.  Nuove ed avanzate tecnologie che
danneggerebbero l’attuale industria sono state soppresse - è probabile che questa affermazione sia vera","11.  Il governo usa persone come capri espiatori
per nascondere il suo coinvolgimento in attività criminali - è probabile che questa affermazione sia vera","12.  Alcuni fatti significativi sono stati il
risultato dell’attività di un piccolo gruppo che segretamente manipola eventi
mondiali - è probabile che questa affermazione sia vera","13.  Alcuni avvistamenti e dicerie sugli UFO sono
stati pianificati o messi in scena allo scopo di distrarre la popolazione dal
vero contatto alieno - è probabile che questa affermazione sia vera","14.  Esperimenti che coinvolgono nuovi farmaci o
tecnologie sono quotidianamente portati avanti alle spalle della popolazione,
senza il loro consenso - è probabile che questa affermazione sia vera","15.  Molte informazioni importanti sono
deliberatamente nascoste al pubblico per interessi personali - è probabile che questa affermazione sia vera",Genere,Età (in cifre),Come consideri il tuo orientamento politico?,Carta 1 - Display Order - sasso
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SCHEMA QUESTIONARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
