StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q109,Q1,Q125,Q126_First Click,Q126_Last Click,Q126_Page Submit,Q126_Click Count,Q4,Q61_First Click,Q61_Last Click,Q61_Page Submit,Q61_Click Count,Q145,Q146_First Click,Q146_Last Click,Q146_Page Submit,Q146_Click Count,Q156,Q157_First Click,Q157_Last Click,Q157_Page Submit,Q157_Click Count,Q167,Q168_First Click,Q168_Last Click,Q168_Page Submit,Q168_Click Count,Q178,Q179_First Click,Q179_Last Click,Q179_Page Submit,Q179_Click Count,Q225,Q226_First Click,Q226_Last Click,Q226_Page Submit,Q226_Click Count,Q227,Q228_First Click,Q228_Last Click,Q228_Page Submit,Q228_Click Count,Q229,Q230_First Click,Q230_Last Click,Q230_Page Submit,Q230_Click Count,Q231,Q232_First Click,Q232_Last Click,Q232_Page Submit,Q232_Click Count,Q5_1,Q225,Q228,Q229,Q230,Q227,Q226,Carta1_DO,Forbice1_DO,Sasso1_DO,Forbice2_DO,Carta2_DO,Sasso2_DO,Forbice3_DO,Carta3_DO,Sasso3_DO,Forbice4_DO,Carta4_DO,Sasso4_DO,Forbice5_DO,Carta5_DO,Sasso5_DO,Sasso6_DO,Carta6_DO,Forbice6_DO,Sasso7_DO,Carta7_DO,Forbice7_DO,Sasso8_DO,Carta8_DO,Forbice8_DO,Carta9_DO,Sasso9_DO,Forbice9_DO,Sasso10_DO,Carta10_DO,Forbice10_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Gentile partecipante,

con questo documento ti chiediamo di fornire il tuo consenso informato alla partecipazione ad una ricerca intitolata ""Game Theory"" coordinata dalla Professoressa Caterina Suitner, Dipartimento di Psicologia dello Sviluppo e della Socializzazione di Padova. Lo scopo di questa ricerca è di indagare il gioco della Morra Cinese.




METODOLOGIA DELLA RICERCA

In questa ricerca le sarà chiesto di:

1. Giocare a Morra Cinese

2. Rispondere ad una serie di domande sulla tua personalità.

3. Rispondere a delle scale che rilevano le sue opinioni rispetto a una serie di quadri.
4. Rispondere a una breve serie di domande riguardanti i suoi dati socio-demografici.

 

LUOGO E DURATA DELLA RICERCA

La ricerca è condotta sulla piattaforma online Qualtrics, sarà suddivisa in due questionari e avrà la durata totale di circa 15 minuti.




CONTATTI

Responsabile della ricerca e data manager: Caterina Suitner, telefono: +390498276362; e-mail: caterina.suitner@unipd.it; Dipartimento di Psicologia Dello Sviluppo e Della Socializzazione (DPSS) dell’Università di Padova, via Venezia 8, Padova, Italia.




CONSENSO ALLA PARTECIPAZIONE E UTILIZZO DEI DATI 

Con la presente dichiaro di aver volontariamente acconsentito alla partecipazione allo studio. 

Dichiaro:

1. Di essere consapevole che lo studio è in linea con le leggi vigenti in Italia D. Lgs 196/2003 e in Europa EU GDPR 679/2016 sulla protezione dei dati e per consentire il trattamento e la comunicazione di dati personali, nei limiti, per le finalità e per la durata specificate dalla normativa vigente (D.Lgs. 196/2003 e EU GDPR 679/2016). Il responsabile della ricerca si impegna a soddisfare gli obblighi stabiliti dalla legislazione vigente in termini di raccolta, elaborazione e archiviazione dei dati sensibili.

2. Di essere a conoscenza del mio diritto di interrompere la mia partecipazione allo studio in qualsiasi momento, senza fornire spiegazioni, senza alcuna penalità e ottenendo il mancato uso dei dati.

3. Di essere consapevole del fatto che i dati sono stati raccolti in modo anonimo e associati a un codice che consente solo ai partecipanti alla ricerca di accedere ai miei dati. 

4. Di essere a conoscenza del fatto che i dati saranno utilizzati esclusivamente a fini scientifici e statistici e protetti secondo il Codice italiano in materia di protezione dei dati personali

5. Di essere consapevole che, se lo si desidera, è possibile ottenere il ritorno dei dati grezzi fornendo ai ricercatori via email un codice da lei generato.

6. Di essere consapevole di poter conservare una copia di questo modulo.

La protezione dei Suoi dati personali è designata con Decreto del Direttore Generale 4451 del 19 dicembre 2017, in cui è stato nominato il Responsabile della Protezione dati (privacy@unipd.it).

 

Dichiaro di avere almeno 18 anni e acconsento alla partecipazione allo studio e al trattamento dei miei dati personali","Benvenuto/a, ti chiediamo di inserire un codice che ci permetterà di collegare le risposte che darai a questo questionario con quelle che darai al successivo questionario.Crea un codice composto dalla 1° e 2° lettera del tuo nome, dalla 1° e 2° lettera della tua città di nascita e i quattro numeri che compongono il tuo giorno e mese di nascita. Esempio: Marco da Vicenza 01/03/1990  = mavi0103",1. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,2. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,3. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,4. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,5. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,6. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,7. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,8. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,9. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,10. Scegli tra carta sasso o forbice per giocare a morra cinese:,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Secondo te il Computer forniva risposte a caso o in modo strategico? - Casualità delle risposte:,1. 10 lanci della moneta hanno prodotto il seguente risultato: TCTCCCCTTC,"2. 10 lanci della moneta hanno prodotto il seguente risultato: TTCTTCTCCC

Quanto ti sermbra casuale o predeterminato questo risultato?","3. 10 lanci della moneta hanno prodotto il seguente risultato: CCTCTCTCCT


Quanto ti sermbra casuale o predeterminato questo risultato?","4. 10 lanci della moneta hanno prodotto il seguente risultato: TTTCTCCTCC



Quanto ti sermbra casuale o predeterminato questo risultato?","5. 10 lanci della moneta hanno prodotto il seguente risultato: TCCCTTTCTT


Quanto ti sermbra casuale o predeterminato questo risultato?","Ora immagina che le sequenze che ti abbiamo presentato in precedenza siano 50 lanci consecutivi della stessa moneta, valuta nel complesso quanto casuali o predeterminati siano stati i risultati.",Carta 1 - Display Order,Forbice 1 - Display Order,Sasso 1 - Display Order,Forbice 2 - Display Order,Carta 2 - Display Order,Sasso 2 - Display Order,Forbice 3 - Display Order,Carta 3 - Display Order,Sasso 3 - Display Order,Forbice 4 - Display Order,Carta 4 - Display Order,Sasso 4 - Display Order,Forbice 5 - Display Order,Carta 5 - Display Order,Sasso 5 - Display Order,Sasso 6 - Display Order,Carta 6 - Display Order,Forbice 6 - Display Order,Sasso 7 - Display Order,Carta 7 - Display Order,Forbice 7 - Display Order,Sasso 8 - Display Order,Carta 8 - Display Order,Forbice 8 - Display Order,Carta 9 - Display Order,Sasso 9 - Display Order,Forbice 9 - Display Order,Sasso 10 - Display Order,Carta 10 - Display Order,Forbice 10 - Display Order
2021-04-12 09:04:32,2021-04-12 09:07:34,0,176.247.170.16,100,181,1,2021-04-12 09:07:34,R_1cSziyBtfCDO6z7,,,,,45.6495971679688,11.7866973876953,anonymous,EN,4,RUIC0906,1,3.275,3.275,4.296,1,1,6.036,6.036,7.549,1,1,0.791,0.791,1.575,1,3,2.078,2.078,2.925,1,2,0.611,0.611,1.471,1,1,28.192,28.192,28.937,1,2,0.693,0.693,1.504,1,1,0.55,0.55,1.352,1,2,0.918,1.851,2.504,2,3,0.796,0.796,1.532,1,100,,,,,,,carta,,,,forbice,,,sasso,,sasso,,,,,forbice,,sasso,,forbice,,,,carta,,,carta,,,,sasso
2021-04-12 10:32:35,2021-04-12 10:36:11,0,87.8.9.44,100,215,1,2021-04-12 10:36:12,R_rrs2EFX1A8k9GlX,,,,,45.6618041992188,12.2427978515625,anonymous,EN,4,ioir1403,2,5.536,5.536,7.634,1,1,0.917,0.917,1.866,1,2,0.719,0.719,1.469,1,2,0.739,0.739,1.609,1,2,0.428,0.428,1.233,1,2,0.863,0.863,1.669,1,2,3.074,3.074,4.177,1,3,0.954,0.954,1.886,1,2,0.57,0.57,1.607,1,3,0.744,0.744,1.773,1,10,1,1,1,1,1,1,,,carta,,forbice,,,,sasso,,,sasso,,,forbice,forbice,,,sasso,,,,,carta,,sasso,,,,forbice
2021-04-12 10:33:15,2021-04-12 10:36:15,0,93.45.95.196,100,180,1,2021-04-12 10:36:16,R_25Hl4kaaT4r0Kn9,,,,,45.4096069335938,11.8946990966797,anonymous,EN,4,arov0207,2,1.49,1.49,3.474,1,1,1.047,1.047,2.28,1,3,0.837,0.837,2.033,1,2,0.645,0.645,1.465,1,2,0.575,0.575,1.449,1,2,0.7,0.7,1.582,1,2,0.808,0.808,1.852,1,2,0.81,0.81,1.726,1,2,1.376,1.376,2.39,1,2,1.11,1.11,1.864,1,100,1,1,1,1,1,1,,,carta,,carta,,forbice,,,,,carta,,,carta,sasso,,,sasso,,,sasso,,,,sasso,,forbice,,
2021-04-12 10:32:36,2021-04-12 10:36:17,0,79.41.15.119,100,221,1,2021-04-12 10:36:17,R_2TuF6YRHOr0joHe,,,,,45.4924011230469,12.1549987792969,anonymous,EN,4,atol3107,1,3.279,3.279,4.732,1,2,0.793,0.793,2.349,1,3,0.967,0.967,2.109,1,1,0.949,0.949,2.112,1,2,0.977,1.845,3.518,2,3,0.82,0.82,2.055,1,1,1.498,1.498,2.9,1,2,0.911,2.246,3.284,2,3,0.798,0.798,2.936,1,2,0.72,0.72,1.829,1,100,1,1,1,1,1,4,carta,,,,,sasso,forbice,,,,sasso,,,,carta,,,carta,,sasso,,sasso,,,,,sasso,carta,,
2021-04-12 10:32:54,2021-04-12 10:36:21,0,2.34.179.92,100,206,1,2021-04-12 10:36:21,R_2frLeij0KnFIvco,,,,,45.9638977050781,10.9111022949219,anonymous,EN,4,icis2005,1,2.463,4.144,6.894,2,2,0.834,0.834,1.892,1,3,0.844,0.844,1.607,1,3,0.671,0.671,1.438,1,1,0.593,0.593,1.465,1,1,0.922,1.585,1.868,2,2,0.492,0.492,1.33,1,1,0.73,0.73,1.492,1,1,0.845,0.845,1.71,1,1,1.573,1.573,2.408,1,100,1,1,1,1,1,1,sasso,,,,,forbice,forbice,,,forbice,,,,carta,sasso,,carta,,carta,,,,carta,,carta,,,,carta,
2021-04-12 10:32:37,2021-04-12 10:36:34,0,151.18.107.143,100,237,1,2021-04-12 10:36:34,R_2E6QZnyAlkh57NK,,,,,45.5050048828125,9.21989440917969,anonymous,EN,4,HAAS2006,2,4.235,4.235,5.807,1,1,1.151,1.151,2.349,1,3,1.078,1.078,2.101,1,2,0.731,0.731,2.103,1,2,0.663,0.663,2.341,1,2,34.996,34.996,36.294,1,2,0.982,0.982,1.865,1,2,0.786,0.786,1.823,1,3,2.075,2.075,3.358,1,2,0.797,0.797,1.921,1,51,4,4,4,4,4,4,,,carta,,carta,,forbice,,,,,forbice,,,carta,forbice,,,forbice,,,carta,,,,,forbice,sasso,,
2021-04-12 10:32:44,2021-04-12 10:36:43,0,37.117.74.124,100,238,1,2021-04-12 10:36:43,R_28Onee0deV88ob1,,,,,45.4096069335938,11.8946990966797,anonymous,EN,4,LARE0602,2,9.2,9.2,10.73,1,2,6.613,6.613,7.995,1,2,2.237,2.237,3.53,1,3,3.009,3.009,4.524,1,1,3.153,3.153,4.402,1,3,11.67,11.67,12.934,1,3,2.432,2.432,3.65,1,3,1.763,1.763,2.93,1,1,4.3,4.3,5.55,1,1,1.647,1.647,2.89,1,50,1,1,1,1,1,1,,,carta,,,sasso,,,forbice,carta,,,,sasso,sasso,,,sasso,,,forbice,,,forbice,carta,,,,forbice,
2021-04-12 10:33:57,2021-04-12 10:36:52,0,62.18.136.92,100,175,1,2021-04-12 10:36:53,R_33dPoT5yMQkkFTS,,,,,45.5500030517578,10.25,anonymous,EN,4,omal1204,2,1.85,1.85,2.441,1,3,0.777,0.777,1.078,1,3,0.686,0.686,1.026,1,2,1.206,1.206,1.655,1,2,0.813,0.813,2.996,1,1,1.319,1.319,1.92,1,3,0.351,0.434,0.819,2,2,0.471,0.471,0.933,1,3,16.595,16.595,17.01,1,1,2.351,2.351,2.821,1,100,2,2,2,2,2,2,,,forbice,forbice,,,carta,,,,,carta,,,carta,,forbice,,,,carta,forbice,,,,,forbice,,forbice,
2021-04-12 10:33:33,2021-04-12 10:37:00,0,158.148.176.41,100,206,1,2021-04-12 10:37:00,R_XMKJZefLdjzBbsl,,,,,41.8979949951172,12.5126037597656,anonymous,EN,4,Inrz1211,2,3.094,3.094,4.164,1,3,0.701,0.701,1.501,1,2,0.701,0.701,1.33,1,1,0.501,0.501,1.732,1,3,0.301,0.301,0.944,1,2,0.401,0.964,13.989,2,3,0.781,0.781,1.123,1,1,0.501,1.019,1.656,2,2,0.4,0.4,1.184,1,1,1.238,1.238,1.949,1,50,1,1,1,1,1,1,,,sasso,forbice,,,,,forbice,,carta,,sasso,,,forbice,,,,,carta,,sasso,,,sasso,,,forbice,
